topic_numbers,passes,Perplexity
5.0,22,38989.84955134126
5.0,23,38014.29389622312
5.0,24,37111.940577451256
5.0,25,36302.045780855595
5.0,26,35546.84800914732
5.0,27,34837.132608168235
5.0,28,34177.86924582625
5.0,29,33549.45631240703
5.0,30,32946.043507248665
5.0,31,32374.206394825298
5.0,32,31819.29417889636
5.0,33,31292.250781641367
5.0,34,30778.41483558694
5.0,35,30274.557919067014
5.0,36,29795.4309957817
5.0,37,29325.989673114775
5.0,38,28857.850404678924
5.0,39,28402.87726952385
5.0,40,27958.965024693254
5.0,41,27524.309938427985
5.0,42,27102.063633675607
5.0,43,26697.352557547307
5.0,44,26300.316371507473
5.0,45,25913.849180355803
5.0,46,25544.535257268377
5.0,47,25184.202983837567
5.0,48,24835.890680696546
5.0,49,24503.14482643996
5.0,50,24181.656333050818
6.0,1,307743.23973091005
6.0,2,287419.4878661025
6.0,3,259732.90368835808
6.0,4,226919.84600467456
6.0,5,189528.88016812515
6.0,6,151501.55367490827
6.0,7,118323.67839000867
6.0,8,91970.54202988847
6.0,9,72189.39439278354
6.0,10,57804.54311688726
6.0,11,47364.98141311214
6.0,12,39779.81578174635
6.0,13,34212.59332891348
6.0,14,30059.776518435614
6.0,15,26916.952853219478
6.0,16,24486.674195391577
6.0,17,22562.74179053494
6.0,18,21011.214415351595
6.0,19,19751.95258093646
6.0,20,18713.0134282631
6.0,21,17842.426395837098
6.0,22,17112.298300898856
6.0,23,16503.77268942542
6.0,24,15992.130627898498
6.0,25,15554.519054702536
6.0,26,15181.040483561237
6.0,27,14856.621856107384
6.0,28,14575.069668451706
6.0,29,14331.266609787423
6.0,30,14117.061218726389
6.0,31,13929.639092100047
6.0,32,13762.179216755392
6.0,33,13611.311563167075
6.0,34,13477.55620522278
6.0,35,13355.814041063448
6.0,36,13247.452285043844
6.0,37,13150.877968373608
6.0,38,13063.641532408692
6.0,39,12985.570869250309
6.0,40,12914.995148582735
6.0,41,12850.201918552955
6.0,42,12790.823570191864
6.0,43,12734.650563275396
6.0,44,12683.682035514434
6.0,45,12636.212794687162
6.0,46,12590.862997841235
6.0,47,12548.535287092633
6.0,48,12509.246203830438
6.0,49,12473.471431634789
6.0,50,12440.455365675012
7.0,1,831679.5381721532
7.0,2,752453.4878149297
7.0,3,654465.9528515702
7.0,4,535616.2005286214
7.0,5,409861.75277512195
7.0,6,297927.3503590447
7.0,7,211077.98471322525
7.0,8,149517.72829498397
7.0,9,108676.59187962812
7.0,10,81865.75136497364
7.0,11,64215.95569679135
7.0,12,52364.959237489
7.0,13,44277.64852850148
7.0,14,38634.27205992734
7.0,15,34566.078069564064
7.0,16,31563.685057552197
7.0,17,29317.39558894135
7.0,18,27604.013425084762
7.0,19,26266.057783533386
7.0,20,25221.26004261446
7.0,21,24390.295990593568
7.0,22,23707.572082735085
7.0,23,23138.642781172017
7.0,24,22653.995232116624
7.0,25,22241.724509000458
7.0,26,21876.562340324766
7.0,27,21549.642293219076
7.0,28,21262.01149557033
7.0,29,21007.54318973515
7.0,30,20782.674216413157
7.0,31,20584.018398167886
7.0,32,20406.38269856317
7.0,33,20245.332049636014
7.0,34,20098.97287705261
7.0,35,19959.304887194514
7.0,36,19835.255800779683
7.0,37,19715.763752862567
7.0,38,19599.85757457285
7.0,39,19489.633404308745
7.0,40,19386.75013797875
7.0,41,19287.41499976938
7.0,42,19195.655522101813
7.0,43,19109.276661109423
7.0,44,19025.797525873815
7.0,45,18946.583392237335
7.0,46,18870.679596394908
7.0,47,18800.245987871604
7.0,48,18735.04417337945
7.0,49,18669.752302055393
7.0,50,18605.37523789506
8.0,1,2258760.6589522418
8.0,2,2055193.520116102
8.0,3,1823115.5120990537
8.0,4,1521600.3941899887
8.0,5,1172163.2458023313
8.0,6,840848.8099403663
8.0,7,576499.9305982611
8.0,8,392342.830514969
8.0,9,271965.196553738
8.0,10,194455.9215434975
8.0,11,144869.3282775458
8.0,12,112434.40925928179
8.0,13,90686.10530817021
8.0,14,75779.48604106049
8.0,15,65261.71070197055
8.0,16,57716.56614999849
8.0,17,52141.318921379214
8.0,18,47922.83965507682
8.0,19,44681.802102870024
8.0,20,42207.47080966943
8.0,21,40213.16528904005
8.0,22,38634.46109791541
8.0,23,37350.02916588208
8.0,24,36299.560466308096
8.0,25,35436.44053160024
8.0,26,34682.794936116145
8.0,27,34058.00303316616
8.0,28,33520.46764079997
8.0,29,33051.87207969566
8.0,30,32638.869014851556
8.0,31,32284.623886368106
8.0,32,31983.914385561555
8.0,33,31696.40149969662
8.0,34,31441.44516163417
8.0,35,31230.227107128874
8.0,36,31010.247129699612
8.0,37,30812.651565415566
8.0,38,30642.39327425908
8.0,39,30462.499982532583
8.0,40,30292.004983206945
8.0,41,30149.024087799593
8.0,42,29996.789372962743
8.0,43,29860.281927499913
8.0,44,29740.39773674334
8.0,45,29627.82843579624
8.0,46,29513.64924393857
8.0,47,29411.858471080246
8.0,48,29313.182969377896
8.0,49,29223.77481640359
8.0,50,29130.424625057563
9.0,1,6175220.635972761
9.0,2,5651722.604883288
9.0,3,5202781.228378372
9.0,4,4706594.979000539
9.0,5,4080030.8841497772
9.0,6,3271725.5888732285
9.0,7,2381458.078454151
9.0,8,1621255.4534540998
9.0,9,1069482.4427310654
9.0,10,707667.8983804747
9.0,11,481510.2836498082
9.0,12,339172.2464307643
9.0,13,249294.1090030507
9.0,14,191263.6199992756
9.0,15,153002.84359657552
9.0,16,126824.23224830312
9.0,17,108425.12891496753
9.0,18,95249.88654746847
9.0,19,85527.71306181057
9.0,20,78271.54142828306
9.0,21,72691.0560493701
9.0,22,68331.26134769643
9.0,23,64996.95528254255
9.0,24,62210.59099522121
9.0,25,59967.62412815651
9.0,26,58202.31725972381
9.0,27,56677.44194682919
9.0,28,55416.26774534152
9.0,29,54358.9617505234
9.0,30,53440.95858487428
9.0,31,52650.542829106744
9.0,32,51966.060070231135
9.0,33,51397.871406271726
9.0,34,50866.83097686898
9.0,35,50381.043759980435
9.0,36,49950.909891271585
9.0,37,49559.430552113445
9.0,38,49218.26801179242
9.0,39,48871.178811697755
9.0,40,48563.28914460875
9.0,41,48305.78292148876
9.0,42,47999.760921706125
9.0,43,47772.79498243569
9.0,44,47516.006553217616
9.0,45,47308.1681412583
9.0,46,47129.1212870685
9.0,47,46928.203384698194
9.0,48,46752.453817165006
9.0,49,46569.913248623365
9.0,50,46440.2269078982
10.0,1,16563415.906694919
10.0,2,14783771.71416272
10.0,3,13082356.515860472
10.0,4,11043737.088185774
10.0,5,8517159.638894025
10.0,6,5823810.565777336
10.0,7,3591184.3302338426
10.0,8,2110701.5762077766
10.0,9,1248427.9783125932
10.0,10,775405.3921093082
10.0,11,508903.8458491805
10.0,12,357212.1180314622
10.0,13,265856.11857878545
10.0,14,208195.32817366906
10.0,15,171304.32185595276
10.0,16,146474.96332667893
10.0,17,129149.37329159459
10.0,18,116594.2380413029
10.0,19,107571.14799259156
10.0,20,100751.02522232113
10.0,21,95661.29766756139
10.0,22,91689.87392309745
10.0,23,88623.69145470897
10.0,24,86089.73030484222
10.0,25,84083.99883132479
10.0,26,82487.3925652625
10.0,27,81052.14304934697
10.0,28,79869.22973678545
10.0,29,78889.53844383586
10.0,30,78034.97913490841
10.0,31,77294.9954422002
10.0,32,76763.9318313432
10.0,33,76175.30140927012
10.0,34,75640.84181580223
10.0,35,75335.4397875846
10.0,36,74851.13612771468
10.0,37,74467.71443101153
10.0,38,74157.22128084887
10.0,39,73859.9323657041
10.0,40,73656.18366146654
10.0,41,73422.04200527142
10.0,42,73219.80601354955
10.0,43,73046.40892652865
10.0,44,72826.77292136893
10.0,45,72634.36542492507
